approach,storage_class,block_size_bytes,block_size_source,stripe_count,stripe_size_bytes,readahead_bytes,o_direct,seq_read_mbps,seq_write_mbps,cache_dropped,selection,useful_bytes,n_ranges,chunks_touched,bytes_transferred,bytes_ci95_low,bytes_ci95_high,bytes_source,proc_read_bytes_delta,llite_read_bytes_delta,issued_bytes,io_ops,osc_read_rpcs,read_ms,read_ci95_low,read_ci95_high,proof_naive_bytes,proof_dedup_bytes,trials
bao,nvme,512,default logical block size,,,,0,10238,,1,cube10,4000,100,103,2527232,2469888,2584576,proc_self_io,2469888,,105472,100,,1.458,1.454,1.465,141856,16416,30
bao,nvme,512,default logical block size,,,,0,10238,,1,cube100,4000000,10000,13750,105144320,105144320,105144320,proc_self_io,105144320,,14080000,10000,,26.297,26.201,26.412,14390000,1357472,30
bao,nvme,512,default logical block size,,,,0,10238,,1,plane,4000000,1000,3907,5275648,4751360,5799936,proc_self_io,4751360,,4000768,1,,0.695,0.691,0.706,1664256,125856,30
