# hostname=DESKTOP-0N3E8CV cpu_model="AMD Ryzen 9 7900X3D 12-Core Processor" date=2026-07-07T10:11:31Z
scheme,platform,n_datasets,sign_ms,verify_ms,sig_size_bytes,pubkey_size_bytes,header_overhead_bytes,trial
hybrid_mldsa65,x86_avx512,10000,0.393,0.124,3374,1984,5358,25
hybrid_mldsa65,x86_avx512,10000,0.382,0.122,3374,1984,5358,26
hybrid_mldsa65,x86_avx512,10000,0.381,0.122,3374,1984,5358,27
hybrid_mldsa65,x86_avx512,10000,0.382,0.121,3374,1984,5358,28
hybrid_mldsa65,x86_avx512,10000,0.393,0.123,3374,1984,5358,29
hybrid_mldsa65,x86_avx512,10000,0.428,0.124,3374,1984,5358,30
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,1
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,2
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,3
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,4
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,5
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,6
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,7
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,8
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,9
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,10
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,11
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,12
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,13
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,14
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,15
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,16
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,17
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,18
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,19
ed25519,x86_avx512,100000,0.061,0.024,64,32,96,20
ed25519,x86_avx512,100000,0.013,0.023,64,32,96,21
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,22
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,23
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,24
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,25
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,26
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,27
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,28
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,29
ed25519,x86_avx512,100000,0.012,0.023,64,32,96,30
hybrid_mldsa65,x86_avx512,100000,0.123,0.125,3374,1984,5358,1
hybrid_mldsa65,x86_avx512,100000,0.112,0.122,3374,1984,5358,2
hybrid_mldsa65,x86_avx512,100000,0.111,0.211,3374,1984,5358,3
hybrid_mldsa65,x86_avx512,100000,0.119,0.125,3374,1984,5358,4
hybrid_mldsa65,x86_avx512,100000,0.114,0.123,3374,1984,5358,5
hybrid_mldsa65,x86_avx512,100000,0.112,0.123,3374,1984,5358,6
hybrid_mldsa65,x86_avx512,100000,0.112,0.122,3374,1984,5358,7
hybrid_mldsa65,x86_avx512,100000,0.111,0.122,3374,1984,5358,8
hybrid_mldsa65,x86_avx512,100000,0.111,0.122,3374,1984,5358,9
hybrid_mldsa65,x86_avx512,100000,0.111,0.145,3374,1984,5358,10
hybrid_mldsa65,x86_avx512,100000,0.119,0.125,3374,1984,5358,11
hybrid_mldsa65,x86_avx512,100000,0.114,0.123,3374,1984,5358,12
hybrid_mldsa65,x86_avx512,100000,0.112,0.122,3374,1984,5358,13
hybrid_mldsa65,x86_avx512,100000,0.111,0.122,3374,1984,5358,14
hybrid_mldsa65,x86_avx512,100000,0.111,0.121,3374,1984,5358,15
hybrid_mldsa65,x86_avx512,100000,0.111,0.121,3374,1984,5358,16
hybrid_mldsa65,x86_avx512,100000,0.111,0.122,3374,1984,5358,17
hybrid_mldsa65,x86_avx512,100000,0.126,0.125,3374,1984,5358,18
hybrid_mldsa65,x86_avx512,100000,0.112,0.122,3374,1984,5358,19
hybrid_mldsa65,x86_avx512,100000,0.127,0.122,3374,1984,5358,20
hybrid_mldsa65,x86_avx512,100000,0.111,0.122,3374,1984,5358,21
hybrid_mldsa65,x86_avx512,100000,0.129,0.124,3374,1984,5358,22
hybrid_mldsa65,x86_avx512,100000,0.112,0.122,3374,1984,5358,23
hybrid_mldsa65,x86_avx512,100000,0.111,0.121,3374,1984,5358,24
hybrid_mldsa65,x86_avx512,100000,0.111,0.121,3374,1984,5358,25
hybrid_mldsa65,x86_avx512,100000,0.112,0.135,3374,1984,5358,26
hybrid_mldsa65,x86_avx512,100000,0.113,0.123,3374,1984,5358,27
hybrid_mldsa65,x86_avx512,100000,0.112,0.122,3374,1984,5358,28
hybrid_mldsa65,x86_avx512,100000,0.112,0.122,3374,1984,5358,29
hybrid_mldsa65,x86_avx512,100000,0.112,0.122,3374,1984,5358,30
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,1
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,2
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,3
ed25519,x86_avx512,1000000,0.013,0.027,64,32,96,4
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,5
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,6
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,7
ed25519,x86_avx512,1000000,0.012,0.029,64,32,96,8
ed25519,x86_avx512,1000000,0.013,0.024,64,32,96,9
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,10
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,11
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,12
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,13
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,14
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,15
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,16
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,17
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,18
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,19
ed25519,x86_avx512,1000000,0.021,0.024,64,32,96,20
ed25519,x86_avx512,1000000,0.013,0.023,64,32,96,21
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,22
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,23
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,24
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,25
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,26
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,27
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,28
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,29
ed25519,x86_avx512,1000000,0.012,0.023,64,32,96,30
hybrid_mldsa65,x86_avx512,1000000,1.095,0.122,3374,1984,5358,1
hybrid_mldsa65,x86_avx512,1000000,1.070,0.124,3374,1984,5358,2
hybrid_mldsa65,x86_avx512,1000000,1.057,0.121,3374,1984,5358,3
hybrid_mldsa65,x86_avx512,1000000,1.083,0.123,3374,1984,5358,4
hybrid_mldsa65,x86_avx512,1000000,1.076,0.123,3374,1984,5358,5
hybrid_mldsa65,x86_avx512,1000000,1.067,0.123,3374,1984,5358,6
hybrid_mldsa65,x86_avx512,1000000,1.071,0.123,3374,1984,5358,7
hybrid_mldsa65,x86_avx512,1000000,1.082,0.123,3374,1984,5358,8
hybrid_mldsa65,x86_avx512,1000000,1.065,0.123,3374,1984,5358,9
hybrid_mldsa65,x86_avx512,1000000,1.060,0.122,3374,1984,5358,10
hybrid_mldsa65,x86_avx512,1000000,1.101,0.124,3374,1984,5358,11
hybrid_mldsa65,x86_avx512,1000000,1.063,0.122,3374,1984,5358,12
hybrid_mldsa65,x86_avx512,1000000,1.054,0.130,3374,1984,5358,13
hybrid_mldsa65,x86_avx512,1000000,1.077,0.122,3374,1984,5358,14
hybrid_mldsa65,x86_avx512,1000000,1.080,0.123,3374,1984,5358,15
hybrid_mldsa65,x86_avx512,1000000,1.065,0.123,3374,1984,5358,16
hybrid_mldsa65,x86_avx512,1000000,1.077,0.123,3374,1984,5358,17
hybrid_mldsa65,x86_avx512,1000000,1.083,0.124,3374,1984,5358,18
hybrid_mldsa65,x86_avx512,1000000,1.094,0.130,3374,1984,5358,19
hybrid_mldsa65,x86_avx512,1000000,1.068,0.122,3374,1984,5358,20
hybrid_mldsa65,x86_avx512,1000000,1.111,0.124,3374,1984,5358,21
hybrid_mldsa65,x86_avx512,1000000,1.077,0.124,3374,1984,5358,22
hybrid_mldsa65,x86_avx512,1000000,1.090,0.123,3374,1984,5358,23
hybrid_mldsa65,x86_avx512,1000000,1.074,0.123,3374,1984,5358,24
