# hostname=COG cpu_model="AMD Ryzen 9 9950X3D 16-Core Processor" ram_gb=46.2 date=2026-06-26T22:11:52Z
hyperslab_type,k_chunks,trial,proof_time_ms,verify_time_ms
random,256,4,12.76114,13.05733
random,256,5,12.90256,13.39724
random,256,6,12.17665,12.07048
random,256,7,11.50524,12.00709
random,256,8,11.57790,12.41736
random,256,9,11.98545,12.13979
random,256,10,11.67327,11.85934
random,256,11,11.79934,12.36562
random,256,12,11.72231,12.35089
random,256,13,11.44785,12.19630
random,256,14,11.46776,11.91961
random,256,15,11.41167,13.30959
random,256,16,12.17525,12.25971
random,256,17,11.42241,12.69815
random,256,18,12.61738,11.63822
random,256,19,11.96533,11.68417
random,256,20,11.21043,12.40437
random,256,21,11.63872,11.67891
random,256,22,11.18347,11.69302
random,256,23,11.83869,12.12502
random,256,24,11.51659,12.50869
random,256,25,12.21919,12.13933
random,256,26,12.15325,12.30910
random,256,27,11.39283,11.64889
random,256,28,11.66550,13.19138
random,256,29,12.01890,11.91088
random,256,30,11.58540,11.80918
contiguous,1024,1,0.20452,2.35240
contiguous,1024,2,0.20344,2.35865
contiguous,1024,3,0.20215,2.35271
contiguous,1024,4,0.19962,2.35497
contiguous,1024,5,0.20138,2.35431
contiguous,1024,6,0.19934,2.35565
contiguous,1024,7,0.20042,2.35736
contiguous,1024,8,0.20877,2.35967
contiguous,1024,9,0.20494,2.36801
contiguous,1024,10,0.20360,2.36887
contiguous,1024,11,0.20222,2.37439
contiguous,1024,12,0.20438,2.35991
contiguous,1024,13,0.20230,2.35508
contiguous,1024,14,0.19879,2.35235
contiguous,1024,15,0.20061,2.35428
contiguous,1024,16,0.20051,2.35261
contiguous,1024,17,0.20190,2.35244
contiguous,1024,18,0.19904,2.35357
contiguous,1024,19,0.20058,2.35631
contiguous,1024,20,0.20017,2.35564
contiguous,1024,21,0.20207,2.35320
contiguous,1024,22,0.20056,2.36681
contiguous,1024,23,0.21222,2.39165
contiguous,1024,24,0.21640,2.36618
contiguous,1024,25,0.20523,2.35796
contiguous,1024,26,0.20504,2.35948
contiguous,1024,27,0.20261,2.35834
contiguous,1024,28,0.20100,2.35949
contiguous,1024,29,0.20152,2.37690
contiguous,1024,30,0.20283,2.36500
strided,1024,1,43.52951,46.31222
strided,1024,2,45.22968,51.52999
strided,1024,3,45.18817,45.55621
strided,1024,4,44.40768,45.28144
strided,1024,5,44.67744,45.08188
strided,1024,6,44.43184,45.30713
strided,1024,7,44.24658,46.05410
strided,1024,8,44.06799,46.87730
strided,1024,9,43.37169,46.63800
strided,1024,10,43.55372,45.02238
strided,1024,11,44.33067,45.85954
strided,1024,12,43.59800,45.59801
strided,1024,13,44.64861,49.52139
strided,1024,14,43.72392,45.68558
strided,1024,15,43.69680,45.64876
strided,1024,16,43.12576,45.87658
strided,1024,17,44.05678,45.29203
strided,1024,18,43.60991,45.84578
strided,1024,19,43.18447,45.35782
strided,1024,20,43.46976,45.37694
strided,1024,21,43.58554,45.38910
strided,1024,22,43.22854,48.65840
strided,1024,23,43.37524,45.36752
strided,1024,24,43.82837,45.53429
strided,1024,25,43.33814,45.31286
strided,1024,26,43.44674,45.65248
strided,1024,27,43.29215,45.33389
strided,1024,28,43.44926,45.78615
strided,1024,29,43.76206,45.54487
strided,1024,30,44.03841,45.12031
random,1024,1,43.99696,46.06020
random,1024,2,43.69351,45.98106
random,1024,3,43.63351,45.97149
random,1024,4,43.61882,45.48395
random,1024,5,43.57194,45.38090
random,1024,6,43.42373,45.60256
random,1024,7,43.54519,45.21937
random,1024,8,43.31926,45.06942
random,1024,9,43.29547,45.60650
random,1024,10,43.70393,46.56713
random,1024,11,43.50367,45.34549
random,1024,12,43.35833,45.60435
random,1024,13,43.86695,45.66651
random,1024,14,43.85551,46.22028
random,1024,15,43.70939,45.54871
random,1024,16,43.66761,45.22229
random,1024,17,43.99514,45.07601
random,1024,18,43.27210,45.77723
random,1024,19,43.61747,45.09266
random,1024,20,43.59069,45.08984
random,1024,21,43.68993,45.72611
random,1024,22,44.04409,45.37063
random,1024,23,43.66867,45.26346
random,1024,24,44.05021,45.49561
random,1024,25,43.65541,45.64087
random,1024,26,43.26078,45.24664
random,1024,27,44.01327,45.95399
random,1024,28,44.01978,46.47549
random,1024,29,43.93697,46.11994
random,1024,30,43.81999,44.91959
contiguous,4096,1,0.89668,9.44371
contiguous,4096,2,0.92079,9.46585
contiguous,4096,3,0.90041,9.44711
contiguous,4096,4,0.87810,9.44965
contiguous,4096,5,0.88453,9.43876
contiguous,4096,6,0.87709,9.44720
contiguous,4096,7,0.88301,9.45213
contiguous,4096,8,0.88414,9.44865
contiguous,4096,9,0.89135,9.49903
contiguous,4096,10,0.89076,9.47203
contiguous,4096,11,0.89280,9.43929
contiguous,4096,12,0.89254,9.48599
contiguous,4096,13,0.88690,9.45101
contiguous,4096,14,0.88176,9.43819
contiguous,4096,15,0.89624,9.44511
contiguous,4096,16,0.88232,9.43704
contiguous,4096,17,0.88597,9.45126
contiguous,4096,18,0.89176,9.47977
contiguous,4096,19,0.89241,9.49765
contiguous,4096,20,0.89540,9.53870
contiguous,4096,21,0.89194,9.45893
contiguous,4096,22,0.87473,9.45576
contiguous,4096,23,0.88488,9.44587
contiguous,4096,24,0.88492,9.43792
contiguous,4096,25,0.88366,9.44806
contiguous,4096,26,0.88695,9.44448
contiguous,4096,27,0.88585,9.45258
contiguous,4096,28,0.90283,9.44953
contiguous,4096,29,0.88816,9.45369
contiguous,4096,30,0.87559,9.45008
strided,4096,1,166.46941,173.62598
strided,4096,2,166.37460,174.29758
strided,4096,3,166.23192,174.74514
strided,4096,4,169.12583,173.37029
strided,4096,5,166.08939,172.74452
strided,4096,6,165.27977,173.50863
strided,4096,7,165.33712,173.02549
strided,4096,8,165.85852,173.36519
strided,4096,9,167.00931,174.35196
strided,4096,10,165.98107,174.54559
strided,4096,11,166.73832,179.14004
strided,4096,12,169.52612,177.67111
strided,4096,13,168.51859,175.13828
strided,4096,14,165.95383,174.14047
strided,4096,15,166.19551,173.91136
strided,4096,16,167.43485,174.99104
strided,4096,17,166.49421,173.67304
strided,4096,18,166.24580,174.57843
strided,4096,19,167.71917,178.01181
strided,4096,20,167.98742,176.78868
strided,4096,21,167.52424,175.11367
strided,4096,22,167.93991,176.68914
strided,4096,23,167.90859,176.98041
strided,4096,24,165.70697,178.85954
strided,4096,25,167.79047,173.38296
strided,4096,26,164.39554,173.40075
strided,4096,27,165.58887,173.34110
strided,4096,28,164.64138,177.27035
strided,4096,29,165.77404,176.59912
strided,4096,30,166.64167,175.57532
random,4096,1,167.83600,175.70247
random,4096,2,166.69709,175.71785
random,4096,3,167.96737,176.88142
random,4096,4,168.39130,173.98230
random,4096,5,167.20401,177.00111
random,4096,6,166.20623,174.39061
random,4096,7,165.90272,173.51224
random,4096,8,166.08495,173.26556
random,4096,9,166.54893,189.16050
random,4096,10,170.71379,175.88570
random,4096,11,170.16754,174.66902
random,4096,12,169.36100,175.25725
random,4096,13,171.85139,175.21013
random,4096,14,166.84308,175.02647
random,4096,15,167.29907,177.76997
random,4096,16,166.79618,175.39915
random,4096,17,168.29169,174.44057
random,4096,18,168.98967,174.57979
random,4096,19,167.29033,176.08456
random,4096,20,168.79531,175.33812
random,4096,21,171.25070,176.06567
random,4096,22,166.32619,175.15640
random,4096,23,167.97753,175.71430
random,4096,24,166.39247,180.82266
random,4096,25,166.17919,179.48295
random,4096,26,166.02024,174.76740
random,4096,27,165.46381,173.55093
random,4096,28,166.67957,174.79851
random,4096,29,166.32112,174.31561
random,4096,30,166.38826,173.42993
